Country,Date,Total Number
South Korea,1/22/2020,1
South Korea,1/23/2020,1
South Korea,1/24/2020,2
South Korea,1/25/2020,2
South Korea,1/26/2020,3
South Korea,1/27/2020,4
South Korea,1/28/2020,4
South Korea,1/29/2020,4
South Korea,1/30/2020,4
South Korea,1/31/2020,11
South Korea,2/1/2020,12
South Korea,2/2/2020,15
South Korea,2/3/2020,15
South Korea,2/4/2020,16
South Korea,2/5/2020,19
South Korea,2/6/2020,23
South Korea,2/7/2020,24
South Korea,2/8/2020,24
South Korea,2/9/2020,25
South Korea,2/10/2020,27
South Korea,2/11/2020,28
South Korea,2/12/2020,28
South Korea,2/13/2020,28
South Korea,2/14/2020,28
South Korea,2/15/2020,28
South Korea,2/16/2020,29
South Korea,2/17/2020,30
South Korea,2/18/2020,31
South Korea,2/19/2020,31
South Korea,2/20/2020,104
South Korea,2/21/2020,204
South Korea,2/22/2020,433
South Korea,2/23/2020,602
South Korea,2/24/2020,833
South Korea,2/25/2020,977
South Korea,2/26/2020,1261
South Korea,2/27/2020,1766
South Korea,2/28/2020,2337
South Korea,2/29/2020,3150
South Korea,3/1/2020,3736
South Korea,3/2/2020,4335
South Korea,3/3/2020,5186
South Korea,3/4/2020,5621
South Korea,3/5/2020,6088
South Korea,3/6/2020,6593
South Korea,3/7/2020,7041
South Korea,3/8/2020,7314
South Korea,3/9/2020,7478
South Korea,3/10/2020,7513
South Korea,3/11/2020,7755
South Korea,3/12/2020,7869
South Korea,3/13/2020,7979
South Korea,3/14/2020,8086
South Korea,3/15/2020,8162
South Korea,3/16/2020,8236
South Korea,3/17/2020,8320
South Korea,3/18/2020,8413
South Korea,3/19/2020,8565
South Korea,3/20/2020,8652
South Korea,3/21/2020,8799
South Korea,3/22/2020,8961
South Korea,3/23/2020,8961
South Korea,3/24/2020,9037
South Korea,3/25/2020,9137
South Korea,3/26/2020,9241
South Korea,3/27/2020,9332
South Korea,3/28/2020,9478
South Korea,3/29/2020,9583
South Korea,3/30/2020,9661
South Korea,3/31/2020,9786
South Korea,4/1/2020,9887
South Korea,4/2/2020,9976
South Korea,4/3/2020,10062
South Korea,4/4/2020,10156
South Korea,4/5/2020,10237
South Korea,4/6/2020,10284
South Korea,4/7/2020,10331
South Korea,4/8/2020,10384
South Korea,4/9/2020,10423
South Korea,4/10/2020,10450
South Korea,4/11/2020,10480
South Korea,4/12/2020,10512
South Korea,4/13/2020,10537
South Korea,4/14/2020,10564
South Korea,4/15/2020,10591
South Korea,4/16/2020,10613
South Korea,4/17/2020,10635
South Korea,4/18/2020,10653
South Korea,4/19/2020,10661
South Korea,4/20/2020,10674
South Korea,4/21/2020,10683
South Korea,4/22/2020,10694
South Korea,4/23/2020,10708
South Korea,4/24/2020,10718
South Korea,4/25/2020,10728
South Korea,4/26/2020,10738
South Korea,4/27/2020,10752
South Korea,4/28/2020,10761
South Korea,4/29/2020,10765
South Korea,4/30/2020,10774
South Korea,5/1/2020,10780
South Korea,5/2/2020,10793
South Korea,5/3/2020,10801
South Korea,5/4/2020,10804
South Korea,5/5/2020,10806
South Korea,5/6/2020,10810
South Korea,5/7/2020,10822
South Korea,5/8/2020,10840
South Korea,5/9/2020,10874
South Korea,5/10/2020,10909
South Korea,5/11/2020,10936
South Korea,5/12/2020,10962
South Korea,5/13/2020,10991
South Korea,5/14/2020,11018
South Korea,5/15/2020,11037
South Korea,5/16/2020,11050
South Korea,5/17/2020,11065
South Korea,5/18/2020,11078
South Korea,5/19/2020,11110
South Korea,5/20/2020,11122
South Korea,5/21/2020,11142
South Korea,5/22/2020,11165
South Korea,5/23/2020,11190
South Korea,5/24/2020,11206
South Korea,5/25/2020,11225
South Korea,5/26/2020,11265
South Korea,5/27/2020,11344
South Korea,5/28/2020,11402
South Korea,5/29/2020,11441
South Korea,5/30/2020,11468
South Korea,5/31/2020,11503
South Korea,6/1/2020,11541
South Korea,6/2/2020,11590
South Korea,6/3/2020,11629
South Korea,6/4/2020,11668
South Korea,6/5/2020,11719
South Korea,6/6/2020,11776
South Korea,6/7/2020,11814
